_c0,id,initialdat,finaldate,area_ha,longitude,latitude,days_between
2858,1877653,31-10-2002,07-02-2003,780974.7933,1.919503489,11.51637878,99
1051876,15106540,07-05-2013,14-08-2013,927022.7891,27.49789944,-7.088001791,99
1105358,18127475,02-11-2015,09-02-2016,1975723.814,19.7274676,8.089940085,99
1105603,18144713,14-11-2015,21-02-2016,8650768.877,26.52997696,6.645418741,99
1107714,11486468,08-05-2010,15-08-2010,1283803.785,27.54629642,-7.121610697,99
1108113,11884063,27-08-2010,04-12-2010,1253404.686,38.75245353,-15.47321185,99
535265,13874801,09-04-2012,17-07-2012,691458.4667,124.5923101,-20.41800819,99
2083,21294099,24-08-2018,01-12-2018,276003.1242,135.8110061,-15.6243261,99
2424,1671304,03-08-2002,09-11-2002,629157.5297,127.057794,-14.38864783,98
763621,15356424,05-07-2013,11-10-2013,441698.9024,38.36935848,-14.45106145,98
2388,25888658,02-10-2022,08-01-2023,293291.1543,33.88331805,3.014687843,98
786,13834428,20-04-2012,27-07-2012,1716770.177,27.59053928,-7.203100089,98
447303,20011229,22-07-2017,28-10-2017,2691462.563,29.29744005,-10.70846286,98
299051,3351774,01-12-2003,07-03-2004,1337144.766,21.85061193,8.74715462,97
903,7756544,23-05-2007,28-08-2007,845811.4819,16.90146048,-10.48924843,97
1090863,10965847,22-11-2009,27-02-2010,1144840.747,21.60147791,8.743555553,97
1771,12074426,21-10-2010,26-01-2011,1547558.282,-1.996041681,9.857177721,97
660,25543092,19-07-2022,24-10-2022,2167084.38,29.34181113,-10.62051505,97
670736,25523218,05-07-2022,10-10-2022,1132895.696,21.29641758,-17.42056956,97
867462,6866562,05-08-2006,10-11-2006,560867.4598,36.90884599,-12.20571292,97
