_c0,id,initialdat,finaldate,area_ha,longitude,latitude,days_between
350574,2240024,2003-01-10,2003-01-12,149.595227001137,21.209912843966755,3.0098214332138156,2
350579,2240030,2003-01-04,2003-01-15,213.70634647844898,28.966507781018805,3.005416671206172,11
350580,2240032,2003-01-12,2003-01-14,85.482851938965,20.651297238428626,3.004166671653518,2
350582,2240035,2003-01-05,2003-01-07,149.593940732387,28.70636017096959,3.002083380617674,2
350583,2240039,2003-01-11,2003-01-13,128.223800903606,30.03008225717053,3.0013889018312905,2
350586,2240043,2003-01-09,2003-01-11,491.524615227618,30.002445059393064,2.9935688667392486,2
350591,2240048,2003-01-03,2003-01-10,341.93118004654,28.17902928034058,2.991666681532002,7
350595,2240053,2003-01-12,2003-01-12,64.1118447674519,21.107251930130708,2.9923611187502637,0
350598,2240057,2003-01-10,2003-01-12,1239.50129095755,21.152704068946846,2.9667386419013297,2
350602,2240061,2003-01-12,2003-01-12,64.112080972566,28.720264774650257,2.9868055600749246,0
350603,2240113,2003-01-10,2003-01-14,128.223741678687,20.695081473858114,2.928472230289895,4
350604,2240063,2003-01-10,2003-01-14,427.413530696058,20.6259349497872,2.9756250447663852,4
350609,2240070,2003-01-12,2003-01-14,213.706015392764,20.650670313250025,2.9708333618063425,2
350613,2240071,2003-01-07,2003-01-14,448.783930529399,20.680897454171713,2.972321457341033,7
350614,2240072,2003-01-12,2003-01-14,128.224393327443,21.110408777243567,2.975694446609254,2
350617,2240079,2003-01-03,2003-01-04,85.4823118595947,28.73445113397237,2.97083333826427,1
350626,2240094,2003-01-12,2003-01-12,149.595492894513,20.620497069831767,2.950892861322115,0
350627,2240095,2003-01-14,2003-01-14,128.224048503742,20.658626322770143,2.9500000048959545,0
350636,2240105,2003-01-12,2003-01-14,213.706092962682,20.675392549971235,2.9316666956880093,2
350644,2240116,2003-01-08,2003-01-15,555.637384749191,28.691588313705893,2.92035260749075,7
350645,2240117,2003-01-14,2003-01-14,64.1119890103493,20.119999958670803,2.927083334317496,0
350647,2240123,2003-01-10,2003-01-13,64.1119824767506,29.273500290416095,2.922916667649362,3
350649,2240126,2003-01-13,2003-01-14,128.224250739853,20.659311933249953,2.911805566617553,1
350660,2240141,2003-01-09,2003-01-10,85.482588493384,28.321582398693057,2.8958333381384,1
350664,2240146,2003-01-10,2003-01-13,149.5948348709,20.150375608903964,2.892559527905106,3
350666,2240148,2003-01-12,2003-01-14,192.335735385603,20.656040523599646,2.884953726546713,2
350670,2240154,2003-01-05,2003-01-12,149.594513637358,28.21689074395004,2.880059540952128,7
350672,2240158,2003-01-13,2003-01-14,64.1119172031879,20.16505022433183,2.8798611154651423,1
350674,2240162,2003-01-12,2003-01-12,149.594076994525,20.6340986030877,2.8800595260988993,0
350676,2240163,2003-01-02,2003-01-12,192.335344092306,27.93257182190698,2.8733796438893915,10
350678,2240165,2003-01-07,2003-01-13,106.853025204653,28.99773782945705,2.87458333795113,6
350679,2240167,2003-01-07,2003-01-10,64.1119005314194,28.283361342239612,2.868750011086317,3
350681,2240169,2003-01-09,2003-01-09,64.1118964281766,28.458511818860234,2.865972226556639,0
350683,2240172,2003-01-02,2003-01-03,85.482534265962,28.99049749363828,2.86875000096361,1
350684,2240173,2003-01-05,2003-01-11,213.706142296931,20.166807754589616,2.8612500078347485,6
350692,2240183,2003-01-07,2003-01-11,406.036090510674,28.636108084547416,2.8468203521732103,4
350695,2240187,2003-01-02,2003-01-07,64.1118715046585,29.435696050785587,2.8493055598644643,5
350701,2240195,2003-01-10,2003-01-11,192.334618748454,20.198042621042568,2.8317129736650637,1
350702,2240196,2003-01-10,2003-01-11,149.594578391956,20.226177381449446,2.831250022804674,1
350703,2240197,2003-01-11,2003-01-15,320.559613190806,20.363065455541047,2.8320833599789323,4
350708,2240206,2003-01-09,2003-01-12,64.111848894904,28.543938512040466,2.834027782061048,3
350709,2240207,2003-01-05,2003-01-09,149.59449608326898,28.558953247708395,2.8306547818068606,4
350721,2205914,2003-01-30,2003-02-07,1988.16850253612,10.24984369773769,9.773007487181117,8
350725,2205929,2003-01-13,2003-01-17,406.182807177843,11.245207326888904,9.743311505238498,4
350726,2240222,2003-01-07,2003-01-15,9360.30605890713,20.398001163900407,2.7484313458768583,8
350730,2240228,2003-01-10,2003-01-14,64.1118079955625,27.877180329274353,2.8062500108415622,4
350733,2240233,2003-01-11,2003-01-11,64.1115695926402,20.28193691010903,2.8048611183400634,0
350738,2240240,2003-01-01,2003-01-08,106.852994996492,28.6220570459324,2.7987500092310675,7
350739,2240244,2003-01-08,2003-01-09,64.1118319769749,28.580564519783028,2.796527782004278,1
